roadmap_topic,module,lesson,steps_count,practice_count,project_count,checker_types,status
HTTP / HTTPS,"Модуль 2. Python Hard; Модуль 3. SQL, базы данных и сети",HTTP и HTTPS; asyncio: HTTP,24,10,4,ide_plugin; python_pytest; python_stdout; quiz_single,covered
TCP / UDP,"Модуль 3. SQL, базы данных и сети",Сети: TCP и UDP,12,5,2,ide_plugin; python_stdout; quiz_single,covered
REST,"Модуль 3. SQL, базы данных и сети",REST и авторизация,12,5,2,ide_plugin; python_stdout; quiz_single,covered
SOAP / GraphQL / gRPC / WebSockets обзорно,"Модуль 3. SQL, базы данных и сети",REST и авторизация,12,5,2,ide_plugin; python_stdout; quiz_single,covered
авторизация,"Модуль 3. SQL, базы данных и сети",REST и авторизация,12,5,2,ide_plugin; python_stdout; quiz_single,covered
Docker,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",Docker Compose; Dockerfile; Nginx и SSL; VPS: доступ; Автодеплой; Домен и DNS,168,70,28,ide_plugin; python_stdout; quiz_single,covered
Docker Compose,"Модуль 4. FastAPI, инфраструктура и тестирование",Docker Compose,12,5,2,ide_plugin; python_stdout; quiz_single,covered
Poetry,Модуль 2. Python Hard,Poetry,12,5,2,ide_plugin; python_stdout; quiz_single,covered
FastAPI,"Модуль 2. Python Hard; Модуль 4. FastAPI, инфраструктура и тестирование",Auth и JWT; CRUD-проект; Depends; FastAPI: routes; FastAPI: старт API; HTTPException,240,100,40,http_api; ide_plugin; quiz_single; sql_query,covered
SQLAlchemy,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",Alembic; Repository и Unit of Work; SQLAlchemy engine; SQLAlchemy models; SQLAlchemy relationships; SQLAlchemy transactions,84,35,14,ide_plugin; python_pytest; python_stdout; quiz_single; sql_query,covered
CRUD-проект,"Модуль 4. FastAPI, инфраструктура и тестирование",CRUD-проект,12,5,2,http_api; ide_plugin; quiz_single,covered
Postman,"Модуль 4. FastAPI, инфраструктура и тестирование",Postman,12,5,2,http_api; ide_plugin; quiz_single,covered
pytest,"Модуль 2. Python Hard; Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",Integration tests; SQLite: repository; SQLite: запросы; SQLite: миграции; SQLite: таблицы; SQLite: транзакции,175,126,14,http_api; ide_plugin; python_pytest; python_stdout; quiz_single,covered
CI/CD,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD GitHub Actions; Docker Compose; Dockerfile; GitLab CI и multistage; Nginx и SSL; VPS: доступ,192,80,32,ide_plugin; python_stdout; quiz_single,covered
GitHub Actions,"Модуль 4. FastAPI, инфраструктура и тестирование",CI/CD GitHub Actions,12,5,2,ide_plugin; python_stdout; quiz_single,covered
GitLab CI/CD,"Модуль 4. FastAPI, инфраструктура и тестирование",GitLab CI и multistage,12,5,2,ide_plugin; python_stdout; quiz_single,covered
multistage build,"Модуль 4. FastAPI, инфраструктура и тестирование",GitLab CI и multistage,12,5,2,ide_plugin; python_stdout; quiz_single,covered
AI API,"Модуль 1. Python Core, терминал, Git; Модуль 5. AI-интеграция, деплой и финальный проект",AI API: запрос; AI для учёбы; Embeddings concept; Evaluation; Hallucination control; JSON schema,180,75,30,ide_plugin; python_stdout; quiz_single,covered
RAG,"Модуль 5. AI-интеграция, деплой и финальный проект",Embeddings concept; Evaluation; Hallucination control; RAG: chunks; Retrieval,60,25,10,ide_plugin; python_stdout; quiz_single,covered
vector databases,"Модуль 5. AI-интеграция, деплой и финальный проект",Embeddings concept; Retrieval; Vector DB concept,36,15,6,ide_plugin; python_stdout; quiz_single,covered
LangChain / LangGraph концептуально,"Модуль 5. AI-интеграция, деплой и финальный проект",Retrieval,12,5,2,ide_plugin; python_stdout; quiz_single,covered
вайбкодинг,"Модуль 5. AI-интеграция, деплой и финальный проект",Безопасный вайбкодинг,12,5,2,ide_plugin; python_stdout; quiz_single,covered
финальный проект,"Модуль 5. AI-интеграция, деплой и финальный проект",Финальная защита; Финальный проект: API contract; Финальный проект: CI/CD и AI; Финальный проект: Deploy; Финальный проект: Git workflow; Финальный проект: ТЗ,108,45,18,ide_plugin; python_stdout; quiz_single,covered
VPS,"Модуль 5. AI-интеграция, деплой и финальный проект",VPS: доступ,12,5,2,ide_plugin; python_stdout; quiz_single,covered
безопасность сервера,"Модуль 5. AI-интеграция, деплой и финальный проект",Nginx и SSL; Безопасность сервера,24,10,4,ide_plugin; python_stdout; quiz_single,covered
домен,"Модуль 5. AI-интеграция, деплой и финальный проект",Домен и DNS,12,5,2,ide_plugin; python_stdout; quiz_single,covered
SSL,"Модуль 5. AI-интеграция, деплой и финальный проект",Nginx и SSL,12,5,2,ide_plugin; python_stdout; quiz_single,covered
автодеплой,"Модуль 5. AI-интеграция, деплой и финальный проект",Автодеплой,12,5,2,ide_plugin; python_stdout; quiz_single,covered
