roadmap_topic,module,lesson,steps_count,practice_count,project_count,checker_types,status
SQL,"Модуль 3. SQL, базы данных и сети","SQL: SELECT; SQL: WHERE; SQL: ORDER BY и LIMIT; SQL: LIKE, IN, BETWEEN, NULL; SQL: агрегаты; SQL: GROUP BY; SQL: HAVING; SQL: INNER JOIN; SQL: LEFT JOIN; SQL: self join; SQL: подзапросы; SQL: CTE; SQL: оконные функции; SQL: INSERT, UPDATE, DELETE; SQL: constraints; SQL: нормализация; SQL: transactions и ACID; SQL: изоляция, блокировки, индексы; SQLite: файл базы; SQLite: sqlite3 CLI; SQLite: DDL и constraints; SQLite: CRUD; SQLite: transactions и PRAGMA; sqlite3 через Python; SQLite repository и проекты; ClickHouse и OLAP; Проектирование схемы; Индексы и EXPLAIN; Экзамен 3",493,303,37,ide_plugin;python_pytest;quiz_single;sql_query,covered
SQLite/sqlite3,"Модуль 3. SQL, базы данных и сети",SQLite: файл базы; SQLite: sqlite3 CLI; SQLite: DDL и constraints; SQLite: CRUD; SQLite: transactions и PRAGMA; sqlite3 через Python; SQLite repository и проекты; Экзамен 3,136,72,16,ide_plugin;python_pytest;quiz_single;sql_query,covered
транзакции,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",SQL: transactions и ACID; SQLite: transactions и PRAGMA; SQLAlchemy transactions,50,29,5,http_api;ide_plugin;python_pytest;quiz_single;sql_query,covered
уровни изоляции,"Модуль 3. SQL, базы данных и сети","SQL: изоляция, блокировки, индексы",17,11,1,ide_plugin;quiz_single;sql_query,covered
блокировки,"Модуль 3. SQL, базы данных и сети","SQL: изоляция, блокировки, индексы",17,11,1,ide_plugin;quiz_single;sql_query,covered
индексы,"Модуль 3. SQL, базы данных и сети","SQL: изоляция, блокировки, индексы; Проектирование схемы; Индексы и EXPLAIN",51,33,3,ide_plugin;quiz_single;sql_query,covered
NoSQL,"Модуль 3. SQL, базы данных и сети",NoSQL: документы,11,5,1,ide_plugin;python_pytest;quiz_single,covered
Redis,"Модуль 3. SQL, базы данных и сети",Redis,11,5,1,ide_plugin;python_pytest;quiz_single,covered
ClickHouse / OLAP,"Модуль 3. SQL, базы данных и сети",ClickHouse и OLAP,17,11,1,ide_plugin;quiz_single;sql_query,covered
S3 / MinIO,"Модуль 3. SQL, базы данных и сети",S3 и MinIO,11,5,1,ide_plugin;python_pytest;quiz_single,covered
сети,"Модуль 3. SQL, базы данных и сети",Сети: TCP и UDP; HTTP и HTTPS; Экзамен 3,39,19,4,ide_plugin;python_pytest;quiz_single;sql_query,covered
HTTP / HTTPS,"Модуль 2. Python Hard; Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование","asyncio: HTTP; HTTP и HTTPS; REST и авторизация; SOAP, GraphQL, gRPC, WebSockets; FastAPI: первый API; response_model и status codes; HTTPException",102,55,11,http_api;ide_plugin;python_pytest;quiz_single,covered
TCP / UDP,"Модуль 3. SQL, базы данных и сети",Сети: TCP и UDP,11,5,1,ide_plugin;python_pytest;quiz_single,covered
REST,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",REST и авторизация; FastAPI: первый API; FastAPI: GET route; FastAPI: path params; FastAPI: query params; FastAPI: request body,96,54,12,http_api;ide_plugin;quiz_single,covered
SOAP / GraphQL / gRPC / WebSockets обзорно,"Модуль 3. SQL, базы данных и сети","SOAP, GraphQL, gRPC, WebSockets",11,5,1,ide_plugin;python_pytest;quiz_single,covered
авторизация,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",REST и авторизация; Auth JWT; Refresh tokens,48,27,6,http_api;ide_plugin;quiz_single,covered
Docker,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект","Healthcheck; Dockerfile и image; Container, ports, env; Volumes и .dockerignore; multistage build; Docker Compose: app + db; Healthcheck, logs, exec, networks, secrets; Финальный проект: Docker",137,50,45,http_api;ide_plugin;quiz_single,covered
Docker Compose,"Модуль 4. FastAPI, инфраструктура и тестирование","Docker Compose: app + db; Healthcheck, logs, exec, networks, secrets",34,12,12,ide_plugin;quiz_single,covered
Poetry,Модуль 2. Python Hard,Poetry,11,5,1,ide_plugin;python_pytest;quiz_single,covered
FastAPI,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект","REST и авторизация; FastAPI: первый API; FastAPI: GET route; FastAPI: path params; FastAPI: query params; FastAPI: request body; Pydantic models; response_model и status codes; HTTPException; Routers; Depends и settings; Middleware и logging; Healthcheck; Auth JWT; Refresh tokens; Database session; SQLAlchemy engine/session; SQLAlchemy models; SQLAlchemy relationships; SQLAlchemy transactions; Repository и unit of work; Alembic migrations; Pagination, filtering, sorting; TestClient; Integration tests; OpenAPI docs; Postman collections; CRUD-проект; Финальный проект: ТЗ; Финальный проект: User ",773,359,165,http_api;ide_plugin;quiz_single,covered
SQLAlchemy,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",Database session; SQLAlchemy engine/session; SQLAlchemy models; SQLAlchemy relationships; SQLAlchemy transactions; Repository и unit of work; Alembic migrations; CRUD-проект; Финальный проект: ТЗ; Финальный проект: User stories; Финальный проект: схема БД; Финальный проект: API contract; Финальный проект: Git workflow; Финальный проект: FastAPI-структура; Финальный проект: SQLAlchemy models; Финальный проект: Alembic migrations; Финальный проект: Auth; Финальный проект: CRUD; Финальный проект: Tests; Финальный проект: Docker; Финальный проект: CI/CD; Финальный проект: AI integration; Финальный,452,180,124,http_api;ide_plugin;quiz_single,covered
CRUD-проект,"Модуль 4. FastAPI, инфраструктура и тестирование",CRUD-проект,16,9,2,http_api;ide_plugin;quiz_single,covered
Postman,"Модуль 4. FastAPI, инфраструктура и тестирование",Postman collections,16,9,2,http_api;ide_plugin;quiz_single,covered
pytest,"Модуль 2. Python Hard; Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",mypy и контракты; pytest: функции; pytest: fixtures; pytest: parametrization; pytest: mocking; pytest: coverage; sqlite3 через Python; SQLite repository и проекты; TestClient; Integration tests; Mock provider; Финальный проект: ТЗ; Финальный проект: User stories; Финальный проект: схема БД; Финальный проект: API contract; Финальный проект: Git workflow; Финальный проект: FastAPI-структура; Финальный проект: SQLAlchemy models; Финальный проект: Alembic migrations; Финальный проект: Auth; Финальный проект: CRUD; Финальный проект: Tests; Финальный проект: Docker; Финальный проект: CI/CD; Финальны,503,209,123,http_api;ide_plugin;python_pytest;quiz_single;sql_query,covered
CI/CD,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD: GitHub Actions и GitLab CI; Автодеплой и rollback; Финальный проект: CI/CD,52,18,18,ide_plugin;quiz_single,covered
GitHub Actions,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD: GitHub Actions и GitLab CI; Финальный проект: CI/CD,35,12,12,ide_plugin;quiz_single,covered
GitLab CI/CD,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD: GitHub Actions и GitLab CI; Финальный проект: CI/CD,35,12,12,ide_plugin;quiz_single,covered
multistage build,"Модуль 4. FastAPI, инфраструктура и тестирование",multistage build,17,6,6,ide_plugin;quiz_single,covered
AI API,"Модуль 5. AI-интеграция, деплой и финальный проект",AI API request; Prompt и messages; Structured output; JSON schema; Mock provider; Retries и timeouts; Rate limits и cost; Финальный проект: AI integration,137,83,13,ide_plugin;python_pytest;quiz_single,covered
RAG,"Модуль 5. AI-интеграция, деплой и финальный проект",RAG chunks; Embeddings и vector DB; Retrieval evaluation hallucination,51,33,3,ide_plugin;python_pytest;quiz_single,covered
vector databases,"Модуль 5. AI-интеграция, деплой и финальный проект",Embeddings и vector DB; Retrieval evaluation hallucination,34,22,2,ide_plugin;python_pytest;quiz_single,covered
LangChain / LangGraph концептуально,"Модуль 5. AI-интеграция, деплой и финальный проект",LangChain и LangGraph,17,11,1,ide_plugin;python_pytest;quiz_single,covered
вайбкодинг,"Модуль 5. AI-интеграция, деплой и финальный проект",Безопасный вайбкодинг,17,11,1,ide_plugin;python_pytest;quiz_single,covered
финальный проект,"Модуль 5. AI-интеграция, деплой и финальный проект",Финальный проект: ТЗ; Финальный проект: User stories; Финальный проект: схема БД; Финальный проект: API contract; Финальный проект: Git workflow; Финальный проект: FastAPI-структура; Финальный проект: SQLAlchemy models; Финальный проект: Alembic migrations; Финальный проект: Auth; Финальный проект: CRUD; Финальный проект: Tests; Финальный проект: Docker; Финальный проект: CI/CD; Финальный проект: AI integration; Финальный проект: Logging; Финальный проект: README; Финальный проект: Deploy; Финальный проект: Final defense,324,108,108,ide_plugin;quiz_single,covered
VPS,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL; Финальный проект: Deploy",35,12,12,ide_plugin;quiz_single,covered
безопасность сервера,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL",17,6,6,ide_plugin;quiz_single,covered
домен,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL; Финальный проект: Deploy",35,12,12,ide_plugin;quiz_single,covered
SSL,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL; Финальный проект: Deploy",35,12,12,ide_plugin;quiz_single,covered
автодеплой,"Модуль 5. AI-интеграция, деплой и финальный проект",Автодеплой и rollback; Финальный проект: Deploy,35,12,12,ide_plugin;quiz_single,covered
