module_order,lesson_order,lesson_title,new_knowledge,allowed_prior_knowledge,future_knowledge_forbidden
2,16,Файлы и pathlib,Python Core,Наследование + Полиморфизм + Абстракции + dataclasses + typing: база + typing: Optional и Union + typing: generics + mypy и контракты,да
2,17,JSON и CSV,Python Core,Полиморфизм + Абстракции + dataclasses + typing: база + typing: Optional и Union + typing: generics + mypy и контракты + Файлы и pathlib,да
2,18,Логирование,Python Core,Абстракции + dataclasses + typing: база + typing: Optional и Union + typing: generics + mypy и контракты + Файлы и pathlib + JSON и CSV,да
2,19,Пакеты и импорты,Python Core,dataclasses + typing: база + typing: Optional и Union + typing: generics + mypy и контракты + Файлы и pathlib + JSON и CSV + Логирование,да
2,20,Poetry,Poetry,typing: база + typing: Optional и Union + typing: generics + mypy и контракты + Файлы и pathlib + JSON и CSV + Логирование + Пакеты и импорты,да
2,21,pytest: функции,pytest,typing: Optional и Union + typing: generics + mypy и контракты + Файлы и pathlib + JSON и CSV + Логирование + Пакеты и импорты + Poetry,да
2,22,pytest: fixtures,pytest,typing: generics + mypy и контракты + Файлы и pathlib + JSON и CSV + Логирование + Пакеты и импорты + Poetry + pytest: функции,да
2,23,pytest: parametrization,pytest,mypy и контракты + Файлы и pathlib + JSON и CSV + Логирование + Пакеты и импорты + Poetry + pytest: функции + pytest: fixtures,да
2,24,pytest: mocking,pytest,Файлы и pathlib + JSON и CSV + Логирование + Пакеты и импорты + Poetry + pytest: функции + pytest: fixtures + pytest: parametrization,да
2,25,pytest: coverage,pytest,JSON и CSV + Логирование + Пакеты и импорты + Poetry + pytest: функции + pytest: fixtures + pytest: parametrization + pytest: mocking,да
2,26,Алгоритмы: сложность,алгоритмы и структуры данных,Логирование + Пакеты и импорты + Poetry + pytest: функции + pytest: fixtures + pytest: parametrization + pytest: mocking + pytest: coverage,да
2,27,Массивы и списки,алгоритмы и структуры данных,Пакеты и импорты + Poetry + pytest: функции + pytest: fixtures + pytest: parametrization + pytest: mocking + pytest: coverage + Алгоритмы: сложность,да
2,28,Hash map и set,алгоритмы и структуры данных,Poetry + pytest: функции + pytest: fixtures + pytest: parametrization + pytest: mocking + pytest: coverage + Алгоритмы: сложность + Массивы и списки,да
2,29,"Stack, queue, deque",алгоритмы и структуры данных,pytest: функции + pytest: fixtures + pytest: parametrization + pytest: mocking + pytest: coverage + Алгоритмы: сложность + Массивы и списки + Hash map и set,да
2,30,Сортировки,алгоритмы и структуры данных,"pytest: fixtures + pytest: parametrization + pytest: mocking + pytest: coverage + Алгоритмы: сложность + Массивы и списки + Hash map и set + Stack, queue, deque",да
2,31,Binary search,алгоритмы и структуры данных,"pytest: parametrization + pytest: mocking + pytest: coverage + Алгоритмы: сложность + Массивы и списки + Hash map и set + Stack, queue, deque + Сортировки",да
2,32,threading,threading,"pytest: mocking + pytest: coverage + Алгоритмы: сложность + Массивы и списки + Hash map и set + Stack, queue, deque + Сортировки + Binary search",да
2,33,multiprocessing,multiprocessing,"pytest: coverage + Алгоритмы: сложность + Массивы и списки + Hash map и set + Stack, queue, deque + Сортировки + Binary search + threading",да
2,34,asyncio: база,asyncio,"Алгоритмы: сложность + Массивы и списки + Hash map и set + Stack, queue, deque + Сортировки + Binary search + threading + multiprocessing",да
2,35,asyncio: задачи и очереди,asyncio,"Массивы и списки + Hash map и set + Stack, queue, deque + Сортировки + Binary search + threading + multiprocessing + asyncio: база",да
2,36,asyncio: HTTP,"asyncio, HTTP / HTTPS","Hash map и set + Stack, queue, deque + Сортировки + Binary search + threading + multiprocessing + asyncio: база + asyncio: задачи и очереди",да
3,1,SQL: SELECT,SQL,"Stack, queue, deque + Сортировки + Binary search + threading + multiprocessing + asyncio: база + asyncio: задачи и очереди + asyncio: HTTP",да
3,2,SQL: WHERE,SQL,Сортировки + Binary search + threading + multiprocessing + asyncio: база + asyncio: задачи и очереди + asyncio: HTTP + SQL: SELECT,да
3,3,SQL: ORDER BY и LIMIT,SQL,Binary search + threading + multiprocessing + asyncio: база + asyncio: задачи и очереди + asyncio: HTTP + SQL: SELECT + SQL: WHERE,да
3,4,"SQL: LIKE, IN, BETWEEN, NULL",SQL,threading + multiprocessing + asyncio: база + asyncio: задачи и очереди + asyncio: HTTP + SQL: SELECT + SQL: WHERE + SQL: ORDER BY и LIMIT,да
3,5,SQL: агрегаты,SQL,"multiprocessing + asyncio: база + asyncio: задачи и очереди + asyncio: HTTP + SQL: SELECT + SQL: WHERE + SQL: ORDER BY и LIMIT + SQL: LIKE, IN, BETWEEN, NULL",да
3,6,SQL: GROUP BY,SQL,"asyncio: база + asyncio: задачи и очереди + asyncio: HTTP + SQL: SELECT + SQL: WHERE + SQL: ORDER BY и LIMIT + SQL: LIKE, IN, BETWEEN, NULL + SQL: агрегаты",да
3,7,SQL: HAVING,SQL,"asyncio: задачи и очереди + asyncio: HTTP + SQL: SELECT + SQL: WHERE + SQL: ORDER BY и LIMIT + SQL: LIKE, IN, BETWEEN, NULL + SQL: агрегаты + SQL: GROUP BY",да
3,8,SQL: INNER JOIN,SQL,"asyncio: HTTP + SQL: SELECT + SQL: WHERE + SQL: ORDER BY и LIMIT + SQL: LIKE, IN, BETWEEN, NULL + SQL: агрегаты + SQL: GROUP BY + SQL: HAVING",да
3,9,SQL: LEFT JOIN,SQL,"SQL: SELECT + SQL: WHERE + SQL: ORDER BY и LIMIT + SQL: LIKE, IN, BETWEEN, NULL + SQL: агрегаты + SQL: GROUP BY + SQL: HAVING + SQL: INNER JOIN",да
3,10,SQL: self join,SQL,"SQL: WHERE + SQL: ORDER BY и LIMIT + SQL: LIKE, IN, BETWEEN, NULL + SQL: агрегаты + SQL: GROUP BY + SQL: HAVING + SQL: INNER JOIN + SQL: LEFT JOIN",да
3,11,SQL: подзапросы,SQL,"SQL: ORDER BY и LIMIT + SQL: LIKE, IN, BETWEEN, NULL + SQL: агрегаты + SQL: GROUP BY + SQL: HAVING + SQL: INNER JOIN + SQL: LEFT JOIN + SQL: self join",да
3,12,SQL: CTE,SQL,"SQL: LIKE, IN, BETWEEN, NULL + SQL: агрегаты + SQL: GROUP BY + SQL: HAVING + SQL: INNER JOIN + SQL: LEFT JOIN + SQL: self join + SQL: подзапросы",да
3,13,SQL: оконные функции,SQL,SQL: агрегаты + SQL: GROUP BY + SQL: HAVING + SQL: INNER JOIN + SQL: LEFT JOIN + SQL: self join + SQL: подзапросы + SQL: CTE,да
3,14,"SQL: INSERT, UPDATE, DELETE",SQL,SQL: GROUP BY + SQL: HAVING + SQL: INNER JOIN + SQL: LEFT JOIN + SQL: self join + SQL: подзапросы + SQL: CTE + SQL: оконные функции,да
3,15,SQL: constraints,SQL,"SQL: HAVING + SQL: INNER JOIN + SQL: LEFT JOIN + SQL: self join + SQL: подзапросы + SQL: CTE + SQL: оконные функции + SQL: INSERT, UPDATE, DELETE",да
3,16,SQL: нормализация,SQL,"SQL: INNER JOIN + SQL: LEFT JOIN + SQL: self join + SQL: подзапросы + SQL: CTE + SQL: оконные функции + SQL: INSERT, UPDATE, DELETE + SQL: constraints",да
3,17,SQL: transactions и ACID,"SQL, транзакции","SQL: LEFT JOIN + SQL: self join + SQL: подзапросы + SQL: CTE + SQL: оконные функции + SQL: INSERT, UPDATE, DELETE + SQL: constraints + SQL: нормализация",да
3,18,"SQL: изоляция, блокировки, индексы","SQL, уровни изоляции, блокировки, индексы","SQL: self join + SQL: подзапросы + SQL: CTE + SQL: оконные функции + SQL: INSERT, UPDATE, DELETE + SQL: constraints + SQL: нормализация + SQL: transactions и ACID",да
3,19,SQLite: файл базы,"SQLite/sqlite3, SQL","SQL: подзапросы + SQL: CTE + SQL: оконные функции + SQL: INSERT, UPDATE, DELETE + SQL: constraints + SQL: нормализация + SQL: transactions и ACID + SQL: изоляция, блокировки, индексы",да
3,20,SQLite: sqlite3 CLI,"SQLite/sqlite3, SQL","SQL: CTE + SQL: оконные функции + SQL: INSERT, UPDATE, DELETE + SQL: constraints + SQL: нормализация + SQL: transactions и ACID + SQL: изоляция, блокировки, индексы + SQLite: файл базы",да
3,21,SQLite: DDL и constraints,"SQLite/sqlite3, SQL","SQL: оконные функции + SQL: INSERT, UPDATE, DELETE + SQL: constraints + SQL: нормализация + SQL: transactions и ACID + SQL: изоляция, блокировки, индексы + SQLite: файл базы + SQLite: sqlite3 CLI",да
3,22,SQLite: CRUD,"SQLite/sqlite3, SQL","SQL: INSERT, UPDATE, DELETE + SQL: constraints + SQL: нормализация + SQL: transactions и ACID + SQL: изоляция, блокировки, индексы + SQLite: файл базы + SQLite: sqlite3 CLI + SQLite: DDL и constraints",да
3,23,SQLite: transactions и PRAGMA,"SQLite/sqlite3, SQL, транзакции","SQL: constraints + SQL: нормализация + SQL: transactions и ACID + SQL: изоляция, блокировки, индексы + SQLite: файл базы + SQLite: sqlite3 CLI + SQLite: DDL и constraints + SQLite: CRUD",да
3,24,sqlite3 через Python,"SQLite/sqlite3, SQL, pytest","SQL: нормализация + SQL: transactions и ACID + SQL: изоляция, блокировки, индексы + SQLite: файл базы + SQLite: sqlite3 CLI + SQLite: DDL и constraints + SQLite: CRUD + SQLite: transactions и PRAGMA",да
3,25,SQLite repository и проекты,"SQLite/sqlite3, SQL, pytest","SQL: transactions и ACID + SQL: изоляция, блокировки, индексы + SQLite: файл базы + SQLite: sqlite3 CLI + SQLite: DDL и constraints + SQLite: CRUD + SQLite: transactions и PRAGMA + sqlite3 через Python",да
3,26,NoSQL: документы,NoSQL,"SQL: изоляция, блокировки, индексы + SQLite: файл базы + SQLite: sqlite3 CLI + SQLite: DDL и constraints + SQLite: CRUD + SQLite: transactions и PRAGMA + sqlite3 через Python + SQLite repository и проекты",да
3,27,Redis,Redis,SQLite: файл базы + SQLite: sqlite3 CLI + SQLite: DDL и constraints + SQLite: CRUD + SQLite: transactions и PRAGMA + sqlite3 через Python + SQLite repository и проекты + NoSQL: документы,да
3,28,ClickHouse и OLAP,"ClickHouse / OLAP, SQL",SQLite: sqlite3 CLI + SQLite: DDL и constraints + SQLite: CRUD + SQLite: transactions и PRAGMA + sqlite3 через Python + SQLite repository и проекты + NoSQL: документы + Redis,да
3,29,S3 и MinIO,S3 / MinIO,SQLite: DDL и constraints + SQLite: CRUD + SQLite: transactions и PRAGMA + sqlite3 через Python + SQLite repository и проекты + NoSQL: документы + Redis + ClickHouse и OLAP,да
3,30,Сети: TCP и UDP,"сети, TCP / UDP",SQLite: CRUD + SQLite: transactions и PRAGMA + sqlite3 через Python + SQLite repository и проекты + NoSQL: документы + Redis + ClickHouse и OLAP + S3 и MinIO,да
3,31,HTTP и HTTPS,"HTTP / HTTPS, сети",SQLite: transactions и PRAGMA + sqlite3 через Python + SQLite repository и проекты + NoSQL: документы + Redis + ClickHouse и OLAP + S3 и MinIO + Сети: TCP и UDP,да
3,32,REST и авторизация,"REST, авторизация, HTTP / HTTPS, FastAPI",sqlite3 через Python + SQLite repository и проекты + NoSQL: документы + Redis + ClickHouse и OLAP + S3 и MinIO + Сети: TCP и UDP + HTTP и HTTPS,да
3,33,"SOAP, GraphQL, gRPC, WebSockets","SOAP / GraphQL / gRPC / WebSockets обзорно, HTTP / HTTPS",SQLite repository и проекты + NoSQL: документы + Redis + ClickHouse и OLAP + S3 и MinIO + Сети: TCP и UDP + HTTP и HTTPS + REST и авторизация,да
3,34,Проектирование схемы,"SQL, индексы","NoSQL: документы + Redis + ClickHouse и OLAP + S3 и MinIO + Сети: TCP и UDP + HTTP и HTTPS + REST и авторизация + SOAP, GraphQL, gRPC, WebSockets",да
3,35,Индексы и EXPLAIN,"SQL, индексы","Redis + ClickHouse и OLAP + S3 и MinIO + Сети: TCP и UDP + HTTP и HTTPS + REST и авторизация + SOAP, GraphQL, gRPC, WebSockets + Проектирование схемы",да
3,36,Экзамен 3,"SQL, SQLite/sqlite3, сети","ClickHouse и OLAP + S3 и MinIO + Сети: TCP и UDP + HTTP и HTTPS + REST и авторизация + SOAP, GraphQL, gRPC, WebSockets + Проектирование схемы + Индексы и EXPLAIN",да
4,1,FastAPI: первый API,"FastAPI, HTTP / HTTPS, REST","S3 и MinIO + Сети: TCP и UDP + HTTP и HTTPS + REST и авторизация + SOAP, GraphQL, gRPC, WebSockets + Проектирование схемы + Индексы и EXPLAIN + Экзамен 3",да
4,2,FastAPI: GET route,"FastAPI, REST","Сети: TCP и UDP + HTTP и HTTPS + REST и авторизация + SOAP, GraphQL, gRPC, WebSockets + Проектирование схемы + Индексы и EXPLAIN + Экзамен 3 + FastAPI: первый API",да
4,3,FastAPI: path params,"FastAPI, REST","HTTP и HTTPS + REST и авторизация + SOAP, GraphQL, gRPC, WebSockets + Проектирование схемы + Индексы и EXPLAIN + Экзамен 3 + FastAPI: первый API + FastAPI: GET route",да
4,4,FastAPI: query params,"FastAPI, REST","REST и авторизация + SOAP, GraphQL, gRPC, WebSockets + Проектирование схемы + Индексы и EXPLAIN + Экзамен 3 + FastAPI: первый API + FastAPI: GET route + FastAPI: path params",да
4,5,FastAPI: request body,"FastAPI, REST","SOAP, GraphQL, gRPC, WebSockets + Проектирование схемы + Индексы и EXPLAIN + Экзамен 3 + FastAPI: первый API + FastAPI: GET route + FastAPI: path params + FastAPI: query params",да
4,6,Pydantic models,FastAPI,Проектирование схемы + Индексы и EXPLAIN + Экзамен 3 + FastAPI: первый API + FastAPI: GET route + FastAPI: path params + FastAPI: query params + FastAPI: request body,да
4,7,response_model и status codes,"FastAPI, HTTP / HTTPS",Индексы и EXPLAIN + Экзамен 3 + FastAPI: первый API + FastAPI: GET route + FastAPI: path params + FastAPI: query params + FastAPI: request body + Pydantic models,да
4,8,HTTPException,"FastAPI, HTTP / HTTPS",Экзамен 3 + FastAPI: первый API + FastAPI: GET route + FastAPI: path params + FastAPI: query params + FastAPI: request body + Pydantic models + response_model и status codes,да
4,9,Routers,FastAPI,FastAPI: первый API + FastAPI: GET route + FastAPI: path params + FastAPI: query params + FastAPI: request body + Pydantic models + response_model и status codes + HTTPException,да
4,10,Depends и settings,FastAPI,FastAPI: GET route + FastAPI: path params + FastAPI: query params + FastAPI: request body + Pydantic models + response_model и status codes + HTTPException + Routers,да
4,11,Middleware и logging,FastAPI,FastAPI: path params + FastAPI: query params + FastAPI: request body + Pydantic models + response_model и status codes + HTTPException + Routers + Depends и settings,да
4,12,Healthcheck,"FastAPI, Docker",FastAPI: query params + FastAPI: request body + Pydantic models + response_model и status codes + HTTPException + Routers + Depends и settings + Middleware и logging,да
4,13,Auth JWT,"FastAPI, авторизация",FastAPI: request body + Pydantic models + response_model и status codes + HTTPException + Routers + Depends и settings + Middleware и logging + Healthcheck,да
4,14,Refresh tokens,"FastAPI, авторизация",Pydantic models + response_model и status codes + HTTPException + Routers + Depends и settings + Middleware и logging + Healthcheck + Auth JWT,да
4,15,Database session,"FastAPI, SQLAlchemy",response_model и status codes + HTTPException + Routers + Depends и settings + Middleware и logging + Healthcheck + Auth JWT + Refresh tokens,да
4,16,SQLAlchemy engine/session,"SQLAlchemy, FastAPI",HTTPException + Routers + Depends и settings + Middleware и logging + Healthcheck + Auth JWT + Refresh tokens + Database session,да
4,17,SQLAlchemy models,"SQLAlchemy, FastAPI",Routers + Depends и settings + Middleware и logging + Healthcheck + Auth JWT + Refresh tokens + Database session + SQLAlchemy engine/session,да
4,18,SQLAlchemy relationships,"SQLAlchemy, FastAPI",Depends и settings + Middleware и logging + Healthcheck + Auth JWT + Refresh tokens + Database session + SQLAlchemy engine/session + SQLAlchemy models,да
4,19,SQLAlchemy transactions,"SQLAlchemy, транзакции, FastAPI",Middleware и logging + Healthcheck + Auth JWT + Refresh tokens + Database session + SQLAlchemy engine/session + SQLAlchemy models + SQLAlchemy relationships,да
4,20,Repository и unit of work,"SQLAlchemy, FastAPI",Healthcheck + Auth JWT + Refresh tokens + Database session + SQLAlchemy engine/session + SQLAlchemy models + SQLAlchemy relationships + SQLAlchemy transactions,да
4,21,Alembic migrations,"SQLAlchemy, FastAPI",Auth JWT + Refresh tokens + Database session + SQLAlchemy engine/session + SQLAlchemy models + SQLAlchemy relationships + SQLAlchemy transactions + Repository и unit of work,да
4,22,"Pagination, filtering, sorting",FastAPI,Refresh tokens + Database session + SQLAlchemy engine/session + SQLAlchemy models + SQLAlchemy relationships + SQLAlchemy transactions + Repository и unit of work + Alembic migrations,да
4,23,TestClient,"FastAPI, pytest","Database session + SQLAlchemy engine/session + SQLAlchemy models + SQLAlchemy relationships + SQLAlchemy transactions + Repository и unit of work + Alembic migrations + Pagination, filtering, sorting",да
4,24,Integration tests,"FastAPI, pytest","SQLAlchemy engine/session + SQLAlchemy models + SQLAlchemy relationships + SQLAlchemy transactions + Repository и unit of work + Alembic migrations + Pagination, filtering, sorting + TestClient",да
4,25,OpenAPI docs,FastAPI,"SQLAlchemy models + SQLAlchemy relationships + SQLAlchemy transactions + Repository и unit of work + Alembic migrations + Pagination, filtering, sorting + TestClient + Integration tests",да
4,26,Postman collections,"Postman, FastAPI","SQLAlchemy relationships + SQLAlchemy transactions + Repository и unit of work + Alembic migrations + Pagination, filtering, sorting + TestClient + Integration tests + OpenAPI docs",да
4,27,CRUD-проект,"CRUD-проект, FastAPI, SQLAlchemy","SQLAlchemy transactions + Repository и unit of work + Alembic migrations + Pagination, filtering, sorting + TestClient + Integration tests + OpenAPI docs + Postman collections",да
4,28,Dockerfile и image,Docker,"Repository и unit of work + Alembic migrations + Pagination, filtering, sorting + TestClient + Integration tests + OpenAPI docs + Postman collections + CRUD-проект",да
4,29,"Container, ports, env",Docker,"Alembic migrations + Pagination, filtering, sorting + TestClient + Integration tests + OpenAPI docs + Postman collections + CRUD-проект + Dockerfile и image",да
4,30,Volumes и .dockerignore,Docker,"Pagination, filtering, sorting + TestClient + Integration tests + OpenAPI docs + Postman collections + CRUD-проект + Dockerfile и image + Container, ports, env",да
4,31,multistage build,"Docker, multistage build","TestClient + Integration tests + OpenAPI docs + Postman collections + CRUD-проект + Dockerfile и image + Container, ports, env + Volumes и .dockerignore",да
4,32,Docker Compose: app + db,"Docker Compose, Docker","Integration tests + OpenAPI docs + Postman collections + CRUD-проект + Dockerfile и image + Container, ports, env + Volumes и .dockerignore + multistage build",да
4,33,"Healthcheck, logs, exec, networks, secrets","Docker, Docker Compose","OpenAPI docs + Postman collections + CRUD-проект + Dockerfile и image + Container, ports, env + Volumes и .dockerignore + multistage build + Docker Compose: app + db",да
4,34,CI/CD: GitHub Actions и GitLab CI,"CI/CD, GitHub Actions, GitLab CI/CD","Postman collections + CRUD-проект + Dockerfile и image + Container, ports, env + Volumes и .dockerignore + multistage build + Docker Compose: app + db + Healthcheck, logs, exec, networks, secrets",да
5,1,AI API request,AI API,"CRUD-проект + Dockerfile и image + Container, ports, env + Volumes и .dockerignore + multistage build + Docker Compose: app + db + Healthcheck, logs, exec, networks, secrets + CI/CD: GitHub Actions и GitLab CI",да
5,2,Prompt и messages,AI API,"Dockerfile и image + Container, ports, env + Volumes и .dockerignore + multistage build + Docker Compose: app + db + Healthcheck, logs, exec, networks, secrets + CI/CD: GitHub Actions и GitLab CI + AI API request",да
5,3,Structured output,AI API,"Container, ports, env + Volumes и .dockerignore + multistage build + Docker Compose: app + db + Healthcheck, logs, exec, networks, secrets + CI/CD: GitHub Actions и GitLab CI + AI API request + Prompt и messages",да
5,4,JSON schema,AI API,"Volumes и .dockerignore + multistage build + Docker Compose: app + db + Healthcheck, logs, exec, networks, secrets + CI/CD: GitHub Actions и GitLab CI + AI API request + Prompt и messages + Structured output",да
5,5,Mock provider,"AI API, pytest","multistage build + Docker Compose: app + db + Healthcheck, logs, exec, networks, secrets + CI/CD: GitHub Actions и GitLab CI + AI API request + Prompt и messages + Structured output + JSON schema",да
5,6,Retries и timeouts,AI API,"Docker Compose: app + db + Healthcheck, logs, exec, networks, secrets + CI/CD: GitHub Actions и GitLab CI + AI API request + Prompt и messages + Structured output + JSON schema + Mock provider",да
5,7,Rate limits и cost,AI API,"Healthcheck, logs, exec, networks, secrets + CI/CD: GitHub Actions и GitLab CI + AI API request + Prompt и messages + Structured output + JSON schema + Mock provider + Retries и timeouts",да
5,8,RAG chunks,RAG,CI/CD: GitHub Actions и GitLab CI + AI API request + Prompt и messages + Structured output + JSON schema + Mock provider + Retries и timeouts + Rate limits и cost,да
5,9,Embeddings и vector DB,"vector databases, RAG",AI API request + Prompt и messages + Structured output + JSON schema + Mock provider + Retries и timeouts + Rate limits и cost + RAG chunks,да
5,10,Retrieval evaluation hallucination,"RAG, vector databases",Prompt и messages + Structured output + JSON schema + Mock provider + Retries и timeouts + Rate limits и cost + RAG chunks + Embeddings и vector DB,да
5,11,LangChain и LangGraph,LangChain / LangGraph концептуально,Structured output + JSON schema + Mock provider + Retries и timeouts + Rate limits и cost + RAG chunks + Embeddings и vector DB + Retrieval evaluation hallucination,да
5,12,Безопасный вайбкодинг,вайбкодинг,JSON schema + Mock provider + Retries и timeouts + Rate limits и cost + RAG chunks + Embeddings и vector DB + Retrieval evaluation hallucination + LangChain и LangGraph,да
