roadmap_topic,module,lesson,steps_count,practice_count,project_count,checker_types,status
HTTP / HTTPS,"Модуль 2. Python Hard; Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование","asyncio: HTTP; HTTP и HTTPS; REST и авторизация; SOAP, GraphQL, gRPC, WebSockets; FastAPI: первый API; response_model и status codes; HTTPException",85,39,11,http_api;ide_plugin;python_pytest;quiz_single,covered
TCP / UDP,"Модуль 3. SQL, базы данных и сети",Сети: TCP и UDP,11,5,1,ide_plugin;python_pytest;quiz_single,covered
REST,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",REST и авторизация; FastAPI: первый API; FastAPI: GET route; FastAPI: path params; FastAPI: query params; FastAPI: request body,78,36,12,http_api;ide_plugin;quiz_single,covered
SOAP / GraphQL / gRPC / WebSockets обзорно,"Модуль 3. SQL, базы данных и сети","SOAP, GraphQL, gRPC, WebSockets",11,5,1,ide_plugin;python_pytest;quiz_single,covered
авторизация,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование",REST и авторизация; Auth JWT; Refresh tokens,39,18,6,http_api;ide_plugin;quiz_single,covered
Docker,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект","Healthcheck; Dockerfile и image; Container, ports, env; Volumes и .dockerignore; multistage build; Docker Compose: app + db; Healthcheck, logs, exec, networks, secrets; Финальный проект: Docker",111,34,37,http_api;ide_plugin;quiz_single,covered
Docker Compose,"Модуль 4. FastAPI, инфраструктура и тестирование","Docker Compose: app + db; Healthcheck, logs, exec, networks, secrets",28,8,10,ide_plugin;quiz_single,covered
Poetry,Модуль 2. Python Hard,Poetry,11,5,1,ide_plugin;python_pytest;quiz_single,covered
FastAPI,"Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект","REST и авторизация; FastAPI: первый API; FastAPI: GET route; FastAPI: path params; FastAPI: query params; FastAPI: request body; Pydantic models; response_model и status codes; HTTPException; Routers; Depends и settings; Middleware и logging; Healthcheck; Auth JWT; Refresh tokens; Database session; SQLAlchemy engine/session; SQLAlchemy models; SQLAlchemy relationships; SQLAlchemy transactions; Repository и unit of work; Alembic migrations; Pagination, filtering, sorting; TestClient; Integration tests; OpenAPI docs; Postman collections; CRUD-проект; Финальный проект: ТЗ; Финальный проект: User ",616,240,146,http_api;ide_plugin;quiz_single,covered
SQLAlchemy,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",Database session; SQLAlchemy engine/session; SQLAlchemy models; SQLAlchemy relationships; SQLAlchemy transactions; Repository и unit of work; Alembic migrations; CRUD-проект; Финальный проект: ТЗ; Финальный проект: User stories; Финальный проект: схема БД; Финальный проект: API contract; Финальный проект: Git workflow; Финальный проект: FastAPI-структура; Финальный проект: SQLAlchemy models; Финальный проект: Alembic migrations; Финальный проект: Auth; Финальный проект: CRUD; Финальный проект: Tests; Финальный проект: Docker; Финальный проект: CI/CD; Финальный проект: AI integration; Финальный,356,120,106,http_api;ide_plugin;quiz_single,covered
CRUD-проект,"Модуль 4. FastAPI, инфраструктура и тестирование",CRUD-проект,13,6,2,http_api;ide_plugin;quiz_single,covered
Postman,"Модуль 4. FastAPI, инфраструктура и тестирование",Postman collections,13,6,2,http_api;ide_plugin;quiz_single,covered
pytest,"Модуль 2. Python Hard; Модуль 3. SQL, базы данных и сети; Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",mypy и контракты; pytest: функции; pytest: fixtures; pytest: parametrization; pytest: mocking; pytest: coverage; sqlite3 через Python; SQLite repository и проекты; TestClient; Integration tests; Mock provider; Финальный проект: ТЗ; Финальный проект: User stories; Финальный проект: схема БД; Финальный проект: API contract; Финальный проект: Git workflow; Финальный проект: FastAPI-структура; Финальный проект: SQLAlchemy models; Финальный проект: Alembic migrations; Финальный проект: Auth; Финальный проект: CRUD; Финальный проект: Tests; Финальный проект: Docker; Финальный проект: CI/CD; Финальны,381,131,105,http_api;ide_plugin;python_pytest;quiz_single;sql_query,covered
CI/CD,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD: GitHub Actions и GitLab CI; Автодеплой и rollback; Финальный проект: CI/CD,42,12,15,ide_plugin;quiz_single,covered
GitHub Actions,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD: GitHub Actions и GitLab CI; Финальный проект: CI/CD,28,8,10,ide_plugin;quiz_single,covered
GitLab CI/CD,"Модуль 4. FastAPI, инфраструктура и тестирование; Модуль 5. AI-интеграция, деплой и финальный проект",CI/CD: GitHub Actions и GitLab CI; Финальный проект: CI/CD,28,8,10,ide_plugin;quiz_single,covered
multistage build,"Модуль 4. FastAPI, инфраструктура и тестирование",multistage build,14,4,5,ide_plugin;quiz_single,covered
AI API,"Модуль 5. AI-интеграция, деплой и финальный проект",AI API request; Prompt и messages; Structured output; JSON schema; Mock provider; Retries и timeouts; Rate limits и cost; Финальный проект: AI integration,91,39,12,ide_plugin;python_pytest;quiz_single,covered
RAG,"Модуль 5. AI-интеграция, деплой и финальный проект",RAG chunks; Embeddings и vector DB; Retrieval evaluation hallucination,33,15,3,ide_plugin;python_pytest;quiz_single,covered
vector databases,"Модуль 5. AI-интеграция, деплой и финальный проект",Embeddings и vector DB; Retrieval evaluation hallucination,22,10,2,ide_plugin;python_pytest;quiz_single,covered
LangChain / LangGraph концептуально,"Модуль 5. AI-интеграция, деплой и финальный проект",LangChain и LangGraph,11,5,1,ide_plugin;python_pytest;quiz_single,covered
вайбкодинг,"Модуль 5. AI-интеграция, деплой и финальный проект",Безопасный вайбкодинг,11,5,1,ide_plugin;python_pytest;quiz_single,covered
финальный проект,"Модуль 5. AI-интеграция, деплой и финальный проект",Финальный проект: ТЗ; Финальный проект: User stories; Финальный проект: схема БД; Финальный проект: API contract; Финальный проект: Git workflow; Финальный проект: FastAPI-структура; Финальный проект: SQLAlchemy models; Финальный проект: Alembic migrations; Финальный проект: Auth; Финальный проект: CRUD; Финальный проект: Tests; Финальный проект: Docker; Финальный проект: CI/CD; Финальный проект: AI integration; Финальный проект: Logging; Финальный проект: README; Финальный проект: Deploy; Финальный проект: Final defense,252,72,90,ide_plugin;quiz_single,covered
VPS,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL; Финальный проект: Deploy",28,8,10,ide_plugin;quiz_single,covered
безопасность сервера,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL",14,4,5,ide_plugin;quiz_single,covered
домен,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL; Финальный проект: Deploy",28,8,10,ide_plugin;quiz_single,covered
SSL,"Модуль 5. AI-интеграция, деплой и финальный проект","VPS, безопасность, домен, SSL; Финальный проект: Deploy",28,8,10,ide_plugin;quiz_single,covered
автодеплой,"Модуль 5. AI-интеграция, деплой и финальный проект",Автодеплой и rollback; Финальный проект: Deploy,28,8,10,ide_plugin;quiz_single,covered
